ENSRNOG00000000322_Atg5,"[2, 1, 0]","[1, 1, 1]","[2, 0, 0]","[2, 0, 0]","[2, 0, 0]","[1, 0, 0]"
ENSRNOG00000000323_Prdm1,[2],[1],[1],[2],[2],[1]
ENSRNOG00000000335_Ermap,[0],[0],[1],[1],[1],[1]
ENSRNOG00000000340_RGD1304704,[0],[1],[0],[0],[1],[2]
ENSRNOG00000000341_Nid2,[0],[1],[0],[0],[1],[2]
ENSRNOG00000000341_Nid2;ENSRNOG00000000341_Nid2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000373_Ctnna3,[2],[2],[2],[0],[2],[2]
ENSRNOG00000000378_Ctnna3,[0],[0],[0],[1],[0],[2]
ENSRNOG00000000387_Slc25a16,"[2, 2]","[2, 2]","[2, 2]","[1, 2]","[2, 2]","[0, 2]"
ENSRNOG00000000398_Zufsp,[0],[1],[0],[0],[0],[0]
ENSRNOG00000000405_Vgll2,[0],[0],[1],[0],[0],[0]
ENSRNOG00000000406_Ros1,[1],[1],[0],[1],[1],[1]
ENSRNOG00000000414_Cep85l,[1],[2],[2],[2],[1],[2]
ENSRNOG00000000415_Asf1a,"[1, 0, 1, 1, 1]","[2, 1, 1, 1, 1]","[2, 0, 0, 0, 0]","[2, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[2, 0, 0, 0, 0]"
ENSRNOG00000000431_Atf6b,[0],[2],[2],[2],[1],[1]
ENSRNOG00000000436_Egfl8,[1],[0],[0],[0],[0],[0]
ENSRNOG00000000438_Rnf5,[0],[0],[0],[0],[1],[1]
ENSRNOG00000000439_Ager,"[0, 1]","[0, 2]","[0, 2]","[0, 2]","[1, 1]","[1, 1]"
ENSRNOG00000000440_Pbx2,[0],[2],[2],[2],[0],[0]
ENSRNOG00000000442_Notch4,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]","[0, 2, 0, 0, 2, 2, 2, 2, 2, 0, 2]","[0, 2, 0, 0, 2, 2, 2, 2, 2, 0, 2]","[0, 2, 0, 0, 2, 2, 2, 2, 2, 0, 2]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
ENSRNOG00000000451_RT1-Ba,"[0, 1, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2]","[2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2]","[2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2]","[1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2]","[1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2]"
ENSRNOG00000000454_RT1-DOb,"[2, 2, 2, 2]","[2, 0, 0, 0]","[2, 0, 0, 0]","[2, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]"
ENSRNOG00000000456_Psmb8,"[1, 1]","[2, 0]","[2, 0]","[2, 0]","[0, 2]","[0, 2]"
ENSRNOG00000000457_Tap1,"[0, 2, 4, 2, 1, 0, 1]","[2, 2, 2, 2, 0, 0, 0]","[2, 2, 2, 2, 0, 0, 0]","[2, 2, 2, 2, 0, 0, 0]","[1, 2, 4, 2, 0, 1, 2]","[1, 2, 4, 2, 0, 1, 2]"
ENSRNOG00000000459_Psmb9,[1],[2],[2],[2],[1],[1]
ENSRNOG00000000463_Col11a2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000465_Slc39a7,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000473_Pfdn6,[0],[0],[1],[0],[0],[0]
ENSRNOG00000000474_Rgl2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000477_Daxx,[1],[0],[0],[0],[0],[0]
ENSRNOG00000000483_Syngap1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000486_Ggnbp1,[2],[0],[0],[0],[1],[1]
ENSRNOG00000000488_Hmga1,[1],[0],[0],[0],[0],[0]
ENSRNOG00000000495_Uhrf1bp1,"[2, 0, 0]","[2, 1, 1]","[2, 0, 0]","[2, 1, 0]","[2, 0, 0]","[2, 0, 0]"
ENSRNOG00000000498_Anks1a,"[0, 0]","[1, 0]","[0, 0]","[0, 1]","[0, 0]","[0, 0]"
ENSRNOG00000000501_Zfp523,[2],[3],[2],[2],[2],[2]
ENSRNOG00000000502_Def6,[2],[0],[2],[1],[2],[2]
ENSRNOG00000000504_Fance,"[0, 2, 2]","[1, 0, 0]","[0, 2, 2]","[1, 1, 1]","[0, 2, 2]","[0, 2, 2]"
ENSRNOG00000000507_Tulp1,[0],[1],[0],[1],[0],[0]
ENSRNOG00000000511_Srpk1,"[0, 1, 1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000000512_Slc26a8,"[0, 0]","[1, 1]","[2, 2]","[1, 1]","[0, 0]","[0, 0]"
ENSRNOG00000000515_Mapk13,[0],[0],[0],[0],[0],[0]
ENSRNOG00000000524_RGD735065,[0],[0],[0],[0],[0],[0]
ENSRNOG00000000528_Fgd2,[2],[0],[0],[1],[2],[2]
ENSRNOG00000000531_Ccdc167,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000536_Mdga1,[0],[0],[0],[0],[1],[1]
ENSRNOG00000000597_Wisp3,"[0, 2]","[0, 2]","[1, 2]","[1, 2]","[0, 2]","[1, 2]"
ENSRNOG00000000598_Tube1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000599_Lama4,"[0, 1]","[1, 0]","[2, 0]","[2, 1]","[2, 2]","[2, 0]"
ENSRNOG00000000606_Pcdh15,"[1, 2, 1]","[1, 1, 1]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]"
ENSRNOG00000000609_Ipmk,[0],[0],[0],[0],[1],[0]
ENSRNOG00000000633_Rhobtb1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000658_Acacb,[1],[0],[0],[0],[2],[2]
ENSRNOG00000000663_Tfip11,[1],[0],[0],[0],[2],[2]
ENSRNOG00000000664_Tpst2,[1],[0],[0],[0],[2],[2]
ENSRNOG00000000695_Ssh1,[0],[0],[0],[0],[1],[1]
ENSRNOG00000000699_Selplg,[0],[0],[0],[0],[0],[0]
ENSRNOG00000000702_Sart3,[1],[0],[0],[0],[2],[2]
ENSRNOG00000000708_Sgsm1,"[1, 1]","[0, 0]","[0, 0]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000000716_Htr1f,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000723_RT1-CE5,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
"ENSRNOG00000000723_RT1-CE5,ENSRNOG00000031090_RT1-CE7","[0, 1, 1, 1, 1]","[1, 0, 2, 0, 0]","[1, 0, 2, 0, 0]","[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
"ENSRNOG00000000723_RT1-CE5,ENSRNOG00000039744_RT1-CE4","[1, 1, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 3, 1, 1]","[1, 1, 1, 0, 1, 1, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 1, 1]"
ENSRNOG00000000726_Olr1671,[1],[2],[2],[0],[0],[0]
ENSRNOG00000000749_Olr1693,[2],[2],[2],[1],[2],[2]
ENSRNOG00000000759_Olr1730,"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 0]","[1, 0]"
ENSRNOG00000000763_RT1-M3-1,[1],[0],[0],[1],[2],[2]
ENSRNOG00000000768_Ubd,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000775_Mog,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000777_RT1-S3,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000782_Trim10,[1],[0],[0],[0],[0],[0]
ENSRNOG00000000783_Trim40,[1],[0],[0],[0],[0],[0]
ENSRNOG00000000787_RT1-T24-2,[2],[2],[1],[1],[1],[1]
ENSRNOG00000000798_Gnl1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000802_Tbc1d32,[0],[1],[0],[0],[0],[0]
ENSRNOG00000000809_Atat1,[2],[0],[0],[0],[1],[1]
ENSRNOG00000000816_Ppp1r18,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000818_Nrm,[0],[0],[1],[1],[1],[1]
ENSRNOG00000000825_Fam26e,[2],[2],[2],[1],[2],[0]
ENSRNOG00000000827_Ier3,"[2, 2]","[2, 0]","[2, 1]","[2, 1]","[2, 2]","[2, 2]"
ENSRNOG00000000833_Vars2,"[2, 0]","[0, 0]","[0, 1]","[0, 1]","[1, 1]","[1, 1]"
ENSRNOG00000000840_Atp6v1g2,"[2, 0]","[0, 2]","[0, 2]","[0, 2]","[1, 1]","[1, 1]"
ENSRNOG00000000843_Ly6g6c,[1],[0],[0],[0],[0],[0]
ENSRNOG00000000847_Csnk2b,[0],[1],[0],[0],[0],[0]
ENSRNOG00000000848_Gpank1,"[0, 0, 0, 0]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 1, 2]","[1, 1, 0, 1]","[1, 1, 0, 1]"
ENSRNOG00000000850_Apom,[0],[2],[2],[2],[1],[1]
ENSRNOG00000000851_Bag6,"[0, 0]","[3, 1]","[3, 1]","[3, 1]","[1, 0]","[1, 1]"
ENSRNOG00000000852_Prrc2a,"[0, 0, 0, 0, 0, 0, 0]","[0, 2, 2, 2, 2, 2, 2]","[0, 2, 2, 2, 2, 2, 2]","[1, 2, 2, 2, 1, 2, 1]","[1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 1, 0]"
ENSRNOG00000000854_Ncr3,"[0, 0, 0, 0]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[1, 1, 1, 1]","[1, 1, 1, 1]"
ENSRNOG00000000855_Lst1,[0],[2],[2],[2],[1],[1]
ENSRNOG00000000857_Msh5,"[0, 0, 1]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 1, 0]"
ENSRNOG00000000858_Sapcd1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000860_Vwa7,"[2, 2, 1, 2, 2, 2]","[2, 2, 0, 2, 2, 2]","[2, 2, 0, 2, 2, 2]","[2, 2, 0, 2, 2, 2]","[2, 2, 1, 2, 2, 2]","[2, 2, 1, 2, 2, 2]"
ENSRNOG00000000867_Vars,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000878_Slc44a4,"[1, 1, 0, 0]","[0, 0, 2, 2]","[0, 0, 2, 2]","[0, 0, 2, 2]","[1, 1, 0, 0]","[1, 1, 0, 0]"
ENSRNOG00000000889_LOC304239,"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000000897_Rxfp2,"[2, 0]","[1, 1]","[2, 0]","[2, 0]","[2, 0]","[2, 0]"
ENSRNOG00000000909_Uspl1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000940_Flt1,"[2, 2]","[2, 0]","[2, 0]","[2, 0]","[2, 1]","[2, 0]"
ENSRNOG00000000961_Glt1d1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000963_Tmem132c,"[2, 1]","[2, 2]","[2, 1]","[2, 1]","[2, 2]","[2, 2]"
ENSRNOG00000000968_Rnf6;ENSRNOG00000000968_Rnf6,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000973_RGD1563425,[2],[1],[2],[2],[2],[2]
ENSRNOG00000000975_Mcoln1,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001004_Ncor2,"[2, 2]","[2, 2]","[2, 2]","[1, 1]","[1, 0]","[1, 0]"
ENSRNOG00000001005_Fcer2,[2],[1],[2],[2],[2],[2]
ENSRNOG00000001039_Eif2b1,"[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
ENSRNOG00000001040_Pms2,"[0, 0]","[1, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000001044_Aimp2,[0],[0],[0],[1],[0],[0]
ENSRNOG00000001050_Eif2ak1,[0],[1],[1],[1],[0],[0]
ENSRNOG00000001058_Timm44,[2],[1],[2],[2],[2],[2]
ENSRNOG00000001062_Kmt5a,"[1, 2]","[1, 1]","[1, 1]","[1, 0]","[1, 1]","[1, 1]"
ENSRNOG00000001068_Rac1,[1],[1],[0],[0],[0],[0]
ENSRNOG00000001069_Elavl1,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001074_Mphosph9,"[2, 2]","[1, 2]","[1, 2]","[0, 2]","[1, 2]","[1, 2]"
ENSRNOG00000001079_Daglb,[2],[2],[2],[1],[2],[2]
ENSRNOG00000001090_Stard13,[2],[1],[2],[2],[2],[2]
ENSRNOG00000001091_Hip1r,[1],[2],[1],[0],[1],[1]
ENSRNOG00000001094_Zfp316,[2],[1],[1],[1],[2],[2]
ENSRNOG00000001098_Pds5b,[0],[1],[0],[0],[0],[0]
ENSRNOG00000001099_Rbak,"[0, 0, 2, 0]","[0, 0, 2, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 2, 0]","[0, 0, 2, 0]"
ENSRNOG00000001111_Brca2,"[0, 0, 1, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
ENSRNOG00000001123_RGD1562310,[2],[2],[1],[1],[2],[1]
ENSRNOG00000001143_Cit,"[0, 1]","[1, 1]","[0, 0]","[0, 2]","[0, 1]","[0, 1]"
ENSRNOG00000001153_Pla2g1b,[0],[1],[1],[2],[1],[1]
ENSRNOG00000001157_Umodl1,"[2, 1, 0]","[2, 1, 1]","[2, 1, 0]","[2, 1, 0]","[2, 1, 0]","[2, 1, 0]"
ENSRNOG00000001164_Tff1,[1],[1],[1],[1],[1],[1]
ENSRNOG00000001167_Ubash3a,"[2, 0]","[1, 1]","[1, 1]","[0, 2]","[1, 1]","[1, 1]"
ENSRNOG00000001169_Slc37a1,[0],[1],[1],[2],[1],[1]
ENSRNOG00000001172_Rnf10,[1],[0],[0],[0],[1],[1]
ENSRNOG00000001185_RGD1311899,[0],[1],[1],[2],[1],[1]
ENSRNOG00000001187_Oasl,"[0, 0]","[1, 1]","[1, 1]","[2, 2]","[1, 1]","[1, 1]"
ENSRNOG00000001189_Sik1,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001190_Git2,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001193_Hsf2bp,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001194_Rrp1b,"[0, 1, 1, 1]","[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000001195_Trpv4,"[0, 0]","[1, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 1]"
ENSRNOG00000001198_Fam222a,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001199_Pop5,[1],[1],[1],[2],[2],[2]
ENSRNOG00000001213_Aire,"[2, 2]","[2, 2]","[2, 2]","[1, 1]","[2, 2]","[2, 2]"
ENSRNOG00000001214_Pfkl,[0],[0],[0],[1],[1],[1]
ENSRNOG00000001216_Trpm2,"[2, 2]","[2, 1]","[2, 2]","[0, 1]","[1, 2]","[1, 2]"
ENSRNOG00000001218_LOC100365646,"[0, 0]","[0, 0]","[0, 0]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000001219_Tspear,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001225_Fam207a,[2],[2],[2],[2],[1],[1]
ENSRNOG00000001229_Col18a1,"[2, 0]","[2, 0]","[2, 0]","[2, 0]","[2, 1]","[2, 1]"
ENSRNOG00000001236_Brat1,"[2, 2]","[1, 2]","[0, 2]","[2, 2]","[2, 2]","[2, 2]"
ENSRNOG00000001237_Cabin1,"[0, 1]","[0, 1]","[2, 0]","[2, 0]","[0, 0]","[0, 1]"
ENSRNOG00000001239_Ddt,[1],[1],[2],[2],[0],[1]
ENSRNOG00000001241_Iqce,[1],[0],[0],[0],[1],[2]
ENSRNOG00000001247_Clip1,"[1, 1]","[0, 2]","[1, 1]","[2, 0]","[1, 1]","[1, 1]"
ENSRNOG00000001249_Col6a1,[1],[1],[1],[0],[2],[2]
ENSRNOG00000001252_Chst12,[1],[1],[1],[1],[1],[0]
ENSRNOG00000001256_Atxn2,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000001261_Ftcd,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]"
ENSRNOG00000001271_Card6,"[0, 0]","[1, 1]","[1, 1]","[1, 1]","[2, 2]","[2, 2]"
ENSRNOG00000001272_Mcm3ap,"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 0, 1]","[1, 0, 0, 0, 1]"
ENSRNOG00000001276_Pcnt,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 0]"
ENSRNOG00000001303_Specc1l,[0],[0],[1],[2],[1],[1]
ENSRNOG00000001309_Camkk2,"[0, 2]","[0, 1]","[0, 2]","[0, 1]","[1, 1]","[1, 1]"
ENSRNOG00000001329_Gjc3,[1],[0],[0],[1],[1],[0]
ENSRNOG00000001331_Rnf34,"[2, 0]","[2, 1]","[2, 0]","[2, 0]","[2, 0]","[2, 0]"
ENSRNOG00000001333_Azgp1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001337_Setd1b,"[1, 1]","[2, 2]","[1, 1]","[0, 0]","[2, 1]","[2, 1]"
ENSRNOG00000001338_Hpd,[1],[0],[0],[0],[0],[0]
ENSRNOG00000001339_Psmd9,[2],[2],[2],[2],[1],[1]
ENSRNOG00000001344_Aldh2,[1],[2],[2],[1],[2],[2]
ENSRNOG00000001349_Mcm7,[1],[2],[2],[1],[1],[2]
ENSRNOG00000001350_Naa25,[1],[0],[0],[1],[0],[0]
ENSRNOG00000001352_Hectd4,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001355_Taf6,[1],[2],[2],[1],[1],[2]
ENSRNOG00000001357_Mblac1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001360_Stag3,[1],[1],[2],[1],[0],[0]
ENSRNOG00000001369_Oas1a,"[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 1]","[2, 1]"
ENSRNOG00000001378_Iqcd,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001389_Irs3,"[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000001397_Rbm19,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001407_Tfr2,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[2, 2]","[2, 2]"
ENSRNOG00000001414_Serpine1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001416_Vgf,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001417_Plod3,"[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 1]","[0, 2, 0]"
ENSRNOG00000001418_Znhit1,[1],[1],[1],[1],[1],[2]
ENSRNOG00000001419_Cldn15,[1],[2],[2],[2],[1],[2]
ENSRNOG00000001425_Sh2b2,[1],[0],[1],[0],[1],[0]
ENSRNOG00000001426_Prkrip1,[1],[1],[0],[0],[0],[0]
ENSRNOG00000001427_Orai2,[2],[1],[1],[1],[2],[2]
ENSRNOG00000001428_Alkbh4,[2],[1],[1],[1],[2],[2]
ENSRNOG00000001429_Lrwd1,"[2, 2, 2, 2]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[2, 2, 2, 2]","[2, 2, 2, 2]"
ENSRNOG00000001431_Rasa4,"[1, 0]","[1, 1]","[0, 0]","[1, 0]","[1, 0]","[2, 0]"
ENSRNOG00000001434_Zp3,"[2, 1]","[1, 0]","[1, 1]","[1, 0]","[2, 1]","[2, 0]"
ENSRNOG00000001435_Ssc4d,[1],[1],[1],[0],[2],[2]
ENSRNOG00000001439_Srrm3,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001443_Rhbdd2,[0],[1],[1],[1],[0],[0]
ENSRNOG00000001448_Hip1,"[2, 2]","[1, 1]","[2, 2]","[1, 1]","[2, 2]","[2, 2]"
ENSRNOG00000001455_Kif13a,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001465_Ids,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001469_Eln,"[1, 1]","[1, 1]","[2, 1]","[2, 1]","[1, 1]","[0, 1]"
ENSRNOG00000001480_Ncf1,"[1, 1]","[2, 0]","[2, 0]","[2, 0]","[2, 0]","[2, 0]"
ENSRNOG00000001490_Pdcd2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001492_Slc8a2,"[1, 2]","[0, 2]","[2, 2]","[2, 2]","[1, 2]","[1, 2]"
ENSRNOG00000001493_Kptn,[1],[0],[2],[2],[1],[1]
ENSRNOG00000001512_RGD1559534,"[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000001516_Rapgef4,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000001517_Pdk1,[2],[3],[1],[0],[2],[1]
ENSRNOG00000001524_Hat1,"[0, 1, 1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000001547_Agps,[1],[0],[0],[0],[0],[0]
ENSRNOG00000001572_Hoxd1,[2],[0],[2],[0],[1],[1]
ENSRNOG00000001580_Hoxd9,[2],[2],[2],[2],[2],[2]
ENSRNOG00000001597_Atf2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000001598_Usp16,"[1, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000001602_Ltn1,[1],[0],[2],[2],[2],[1]
ENSRNOG00000001607_Adamts1,[2],[1],[1],[1],[1],[2]
ENSRNOG00000001627_Abi3bp,[0],[0],[0],[0],[0],[0]
ENSRNOG00000001632_Brwd1,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000001656_Kcnj15,[1],[0],[1],[0],[1],[1]
ENSRNOG00000001657_Cldnd1,"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000001682_Ttc3,[1],[2],[1],[1],[2],[2]
ENSRNOG00000001686_Hlcs,[1],[0],[1],[1],[1],[1]
ENSRNOG00000001687_Crybg3,[1],[2],[2],[1],[2],[2]
ENSRNOG00000001700_Whrn,[2],[1],[2],[2],[2],[2]
ENSRNOG00000001706_Kalrn,[0],[1],[0],[0],[0],[0]
ENSRNOG00000001712_Alg3,[2],[1],[0],[2],[2],[2]
ENSRNOG00000001717_Opa1,"[0, 2]","[1, 2]","[0, 2]","[0, 2]","[0, 2]","[0, 2]"
ENSRNOG00000001719_Psmd2,[1],[1],[2],[0],[0],[0]
ENSRNOG00000001750_Chrd,[1],[1],[2],[0],[0],[0]
ENSRNOG00000001752_Nrros,"[2, 2, 2, 2]","[1, 0, 0, 0]","[1, 0, 0, 0]","[2, 1, 1, 1]","[2, 0, 0, 0]","[2, 0, 0, 0]"
ENSRNOG00000001770_Ehhadh,[2],[1],[0],[2],[2],[2]
ENSRNOG00000001776_Muc20,[2],[1],[1],[1],[2],[2]
